new_id,prob
2,0.43
5,0.11
6,0.29
9,0.99
10,0.26
12,0.86
13,0.04
16,0.91
18,1
19,0.09
20,0.99
23,0.97
25,0.9
29,0.49
31,0.87
32,0.77
33,0.36
35,0.64
37,0.01
40,0.02
47,0.09
48,0.87
49,0.32
52,0.2
53,0.85
54,0.21
55,0.07
57,0.86
59,0.85
60,0.83
61,0.73
65,1
66,0.74
69,0.25
70,0.36
72,0.78
73,0.45
75,0.4
76,0.1
80,0.72
81,0.06
84,0.11
87,0.09
88,0.85
89,0.31
90,0.74
94,0.18
95,0.63
96,0.65
97,0.14
98,0.34
100,0.28
101,0.64
102,0.74
104,0.67
105,0.8
106,0.08
107,0.76
108,0.74
109,0
111,0.93
112,0.28
113,0.78
119,0.83
123,0.04
125,0.64
126,0.99
128,0.62
131,0.19
133,0.78
135,0.47
136,0.96
137,0.89
139,0.87
140,0.03
141,0.87
143,0.48
144,0.86
151,0.68
153,0.77
155,0.35
156,0.65
157,0.74
158,0
160,0.5
161,0.86
162,0.21
163,0.75
168,0.14
169,0.65
171,0.21
174,0.6
175,0.12
176,0.09
179,0.86
180,0.66
181,0.84
183,0.76
185,0.17
187,0.95
188,0.25
189,0.42
190,0.7
191,0.6
193,0.31
195,0.2
197,0.49
198,0.24
199,0.91
200,0.02
202,0.91
206,0.79
211,0.35
212,0.17
215,0.09
217,0.58
218,0.51
224,0.31
228,0.04
229,0.61
231,0.71
232,0.41
233,0.76
241,0.31
242,0.08
243,0.29
244,0.42
245,0.02
251,0.99
252,0.76
256,0.56
257,0.57
262,0.57
264,0.76
267,0.85
268,0.1
271,0.61
273,0.95
275,0.02
276,0.55
277,0.87
279,0.09
282,0.59
283,0.85
284,0.91
288,0.2
290,0.42
292,0.85
293,0.84
295,0.1
298,0.38
300,0.03
303,0.21
305,0.75
310,0.45
314,0.94
316,0.02
317,0.18
320,0.03
321,0.9
323,0.43
324,0.05
325,0.04
328,0.76
329,0.86
330,0.64
331,0.99
332,0.61
334,0.74
335,0.09
336,0.81
337,0.25
339,0.6
343,0.77
344,0.58
346,0.28
347,0.01
348,0.27
350,0.84
351,0.27
353,0.66
356,0.56
357,0.72
358,0.81
360,0.79
361,0.55
367,0.25
372,0.78
374,0.85
375,0.47
376,0.56
378,0.65
382,0.77
383,0.41
384,0
388,0.1
390,0.07
391,0.56
392,0.03
393,0.08
394,0.95
397,0.12
398,0.61
399,0.01
401,0.86
403,0.6
404,0.98
405,0.98
406,0.89
409,0.13
411,0
412,0.91
413,0.77
415,0.05
417,0.8
419,0.6
420,0.17
421,0.98
423,0.39
427,0.09
428,0.84
429,0.93
430,0.32
431,0.23
432,0.77
440,0.67
441,0.46
442,0.86
444,0.66
445,0.71
447,0.84
449,0.04
450,0.93
452,0.69
454,0.45
456,0.93
462,0.95
464,0.29
466,0.08
468,0.1
469,0.96
471,0
474,0.02
477,0.06
483,0.14
489,0.52
491,0.71
492,0.08
493,0.07
494,0.76
498,0.16
500,0.77
502,0.84
503,0.03
504,1
506,0.56
508,0.39
509,0.32
511,0.77
516,0.37
517,0.16
519,0.16
520,0.07
521,0.64
522,0.95
524,0.86
525,0.77
529,0.33
530,0.47
532,0.2
535,0.75
537,0.59
539,0.98
540,0
545,0.76
546,0.06
547,0.86
548,0.31
550,0.32
556,0.72
559,0.35
563,0.87
565,0.55
568,0.59
570,0.72
571,0.91
572,0.73
575,0.96
578,0.05
581,0.83
582,0.07
583,0.99
587,0.41
588,0.84
592,0.2
595,0.7
596,0.27
597,0.85
599,0.87
601,0.9
603,0.03
604,0.89
605,0.32
610,0.01
611,0.02
612,0.64
616,0.25
618,0.26
623,0.93
628,0.02
629,0.27
633,0.01
636,0.68
637,0.92
641,0.62
644,0.96
647,0.49
648,0.85
649,0.69
650,0.56
653,0.94
656,0.7
657,0.54
660,0.24
662,0.91
665,0.24
668,0.13
669,0.78
670,0.27
671,0.33
676,0.73
677,0.76
678,0.11
679,0.09
680,0.78
681,0.1
683,0.35
685,0.26
687,0.59
688,0.11
690,0.89
691,0.62
694,0.95
695,0.23
699,0.5
700,0.02
701,0.13
703,0.17
705,0.63
706,0.63
709,0.79
710,0.27
711,0.79
712,0.76
714,0.16
715,0.95
716,0.22
717,0.29
719,0.5
720,0.03
721,0.82
725,0.03
726,0.57
727,0.82
728,0.87
730,0.99
731,0.15
732,0.8
734,0.36
735,0.94
736,0.68
737,0.83
741,0.12
742,0.74
744,0.39
748,0.51
750,0.98
751,0.07
752,0.91
755,0.33
757,0.84
760,0.5
761,0
762,0.06
763,0.08
764,0.38
771,0.24
772,0.13
773,0.14
775,0.88
777,0.65
779,0.51
781,0.11
783,0.64
786,0.27
787,0.73
788,0.74
789,0.54
792,0.19
793,0.01
794,0.88
795,0.94
797,0.02
801,0.61
802,0.67
805,0.43
806,0.93
807,0.15
810,0.22
811,0.9
813,0.01
815,0.82
817,0.02
819,0.01
821,0.35
822,0.27
824,0.57
827,0.51
829,0.03
830,0.8
836,0.48
839,0.7
842,0.92
846,0.82
848,0.98
849,0.15
853,0.34
856,0.85
858,0.15
861,0.45
862,0.86
865,1
866,0.75
867,0.76
868,0.82
870,0.13
871,0.16
874,0.89
877,0.9
880,0.46
881,0.79
883,0.64
885,0.56
887,0.85
889,0.87
892,0.15
894,0.17
896,0.07
897,0.51
898,0.96
900,0.27
901,0.02
902,0.67
903,0.04
904,0.64
905,0.99
906,0.55
908,0.64
909,0.01
910,0.64
911,0.23
912,0.69
913,0.04
916,0.46
917,0.19
918,0.43
924,0.01
925,0.32
926,0.83
927,0.48
928,0
932,0.74
933,0.11
934,0.69
935,0.42
936,0.5
937,0.16
938,0.81
939,0.6
941,0.91
949,0.84
950,0.83
953,0.69
956,0.9
957,0.18
958,0.33
959,0.88
960,0.35
964,0.65
965,0.72
968,0.12
969,0.65
970,0.65
971,0.58
972,0.25
980,0.07
982,0.89
983,0.78
986,1
989,0.24
992,0.27
995,0.69
996,0.48
997,0.53
998,0.6
999,0.11
1001,0.05
1005,0.94
1007,0.03
1008,0.68
1009,0.87
1011,0.47
1013,0.76
1014,0.1
1016,0.6
1017,0.62
1018,0.96
1021,0.85
1023,0.68
1024,0.81
1026,0.22
1027,0.16
1028,0.12
1034,0.16
1035,0.15
1039,0.24
1042,0.56
1045,0.59
1046,0.28
1050,0.43
1052,0.26
1053,0.56
1056,0.19
1057,0.54
1058,0.07
1061,0.26
1062,0.53
1063,0.83
1064,0.77
1065,0.03
1066,0.84
1069,0.22
1070,0.19
1071,0.57
1072,0.32
