new_id,prob
2,0.44
3,0.74
4,0.64
8,0.02
13,0.03
14,0.06
16,0.87
17,0.61
18,1
20,1
23,0.98
25,0.83
26,0.06
28,0.02
31,0.87
33,0.33
34,0.39
35,0.47
37,0.01
43,0.99
44,0.65
45,0.44
47,0.04
53,0.87
55,0.12
56,0.92
57,0.89
59,0.84
60,0.82
61,0.62
64,0.01
67,0.78
68,0.8
72,0.7
74,0.81
76,0.23
79,0.57
81,0.08
82,0.35
84,0.16
85,0.21
87,0.05
89,0.27
90,0.65
92,0.66
93,0.74
97,0.12
101,0.63
104,0.67
105,0.88
106,0.15
109,0
110,0.97
111,0.94
112,0.27
113,0.78
114,0.85
115,0.91
125,0.63
126,0.99
128,0.62
130,0.72
132,0.98
133,0.78
136,0.95
138,0.02
139,0.81
141,0.93
142,0.75
143,0.52
144,0.53
146,0.66
148,0.77
149,0.44
153,0.72
154,0.06
156,0.69
158,0
159,0.47
160,0.46
168,0.14
169,0.62
171,0.22
172,0.6
174,0.58
175,0.21
178,0.94
180,0.58
181,0.84
183,0.76
184,0.78
185,0.12
186,0.54
187,0.91
188,0.23
189,0.43
190,0.67
192,0.81
194,0.13
195,0.27
196,0.46
197,0.7
200,0.03
202,0.9
207,0.63
209,0.34
213,0.59
214,0.49
215,0.12
217,0.47
218,0.37
219,0.87
221,0.7
222,0.08
224,0.28
225,0.69
226,0.63
228,0.01
230,0.23
237,0.76
240,0.84
241,0.27
245,0.02
247,0.01
248,0.08
249,0.91
250,0.11
255,0.87
258,0.24
259,0.18
264,0.79
266,0.95
267,0.8
268,0.06
269,0.09
270,0.92
272,0.48
275,0.01
276,0.55
277,0.91
278,0.34
280,0.81
282,0.55
285,0.46
286,0.02
288,0.25
289,0.09
291,0.99
292,0.69
293,0.86
296,0.36
303,0.44
304,0.83
305,0.68
306,0.97
309,0.4
310,0.42
311,0.73
314,0.98
315,0.88
316,0.06
317,0.14
318,0.6
320,0.04
325,0.03
331,1
332,0.84
336,0.75
337,0.24
340,0.24
342,0.63
343,0.8
344,0.5
349,0.42
351,0.25
352,0.95
353,0.67
356,0.55
357,0.71
359,0.01
360,0.67
364,0.79
367,0.39
369,0.17
370,0.3
374,0.87
377,0.42
378,0.67
379,0.11
382,0.79
387,0.32
388,0.08
389,0.41
396,0.78
397,0.1
398,0.6
400,0.73
401,0.83
406,0.9
408,0.48
409,0.14
412,0.92
413,0.8
416,0.09
420,0.14
421,0.97
422,0.98
423,0.43
424,0.04
426,0.03
427,0.07
430,0.27
431,0.32
436,0.81
438,0.08
439,0.22
444,0.52
446,0.94
447,0.76
449,0.02
453,0.13
456,0.9
457,0.03
463,0.64
464,0.33
471,0
472,0.09
473,0.74
478,0.71
479,0.12
480,0.2
483,0.1
489,0.54
492,0.08
493,0.04
494,0.87
495,0.69
496,0.07
497,0.19
498,0.47
499,0.93
500,0.79
501,0.39
504,1
505,0.96
507,0.88
509,0.3
510,0.73
512,0.43
513,0.5
517,0.14
520,0.15
521,0.56
522,0.95
523,0.01
525,0.79
526,0.14
527,0.54
531,0.8
534,0.94
535,0.76
538,0.09
539,0.99
542,0.05
544,0.51
545,0.69
549,0.08
552,0.05
554,0.39
561,0.68
565,0.54
569,0.64
572,0.73
573,0.78
574,0.32
575,0.97
576,0.1
579,0.42
582,0.09
583,0.99
587,0.29
588,0.93
590,0.79
591,0.71
595,0.7
596,0.53
597,0.91
600,0.13
602,0.29
605,0.27
606,0.05
611,0.02
617,0.72
619,0.13
620,0.26
621,0.32
623,0.95
624,0.27
626,0.1
627,0.06
628,0.01
630,0.06
633,0.01
637,0.94
638,0.92
639,0.18
640,0.27
641,0.64
643,0.3
647,0.44
649,0.76
650,0.64
651,0.6
656,0.7
657,0.53
658,0.41
660,0.24
661,0.16
664,0.56
667,0.04
668,0.13
671,0.35
672,0.37
674,0.71
676,0.68
678,0.26
680,0.74
681,0.24
682,0.92
685,0.26
687,0.5
691,0.59
692,0.32
694,0.9
696,0.4
697,0.07
698,0.45
700,0.03
704,0.66
705,0.59
707,0.11
708,0.37
710,0.24
711,0.78
712,0.72
713,0.18
715,0.93
717,0.25
720,0.07
723,0.34
724,0.15
728,0.82
729,0.3
731,0.26
737,0.8
738,0.53
739,0.87
740,0.56
742,0.77
743,0.87
744,0.39
747,0.17
748,0.38
749,0.82
750,0.99
752,0.88
754,0.09
756,0.09
760,0.3
761,0
765,0.56
766,0.37
770,0.52
771,0.35
773,0.13
774,0.15
778,0.11
779,0.57
780,0.25
782,0.04
783,0.62
789,0.68
790,0.36
793,0.01
794,0.89
795,0.92
797,0.01
798,0.67
802,0.71
804,0.72
805,0.43
808,0.65
811,0.92
812,0.54
816,0.89
821,0.32
823,0.09
824,0.48
827,0.54
831,0.01
837,0
839,0.7
845,0.64
846,0.84
849,0.17
852,0.04
853,0.35
856,0.8
859,0.73
860,0.68
862,0.9
868,0.87
870,0.13
876,0.99
877,0.81
881,0.83
883,0.62
888,0.9
889,0.89
891,0.85
893,0.69
894,0.22
895,0.17
896,0.06
900,0.29
902,0.72
906,0.62
907,0.89
909,0.01
911,0.23
913,0.05
915,0.48
918,0.63
921,0.96
923,0.05
924,0
925,0.3
926,0.79
927,0.51
929,0.96
930,0.91
931,0.84
932,0.76
933,0.1
934,0.56
936,0.5
939,0.6
943,0.44
944,0.86
945,0.87
947,0.12
948,0.78
949,0.64
950,0.87
952,0.17
954,0.96
957,0.1
961,0.95
970,0.65
971,0.51
972,0.19
974,0.59
975,0.85
981,0.53
983,0.79
984,0.94
990,0.34
998,0.63
999,0.14
1000,0.14
1001,0.03
1002,0.86
1003,0.18
1004,0.24
1008,0.76
1009,0.89
1011,0.53
1014,0.25
1017,0.59
1020,0.63
1022,0.3
1024,0.89
1025,0.34
1028,0.37
1029,0.13
1030,0.75
1035,0.09
1036,0.83
1037,0.18
1038,0.27
1039,0.18
1040,0.97
1041,0.81
1044,0.46
1046,0.21
1048,0.7
1051,0.5
1052,0.28
1053,0.49
1054,0.8
1056,0.23
1057,0.45
1059,0.48
1063,0.85
1064,0.8
1066,0.68
1067,0.04
1068,0.73
1071,0.65
1072,0.18
1073,0.06
1075,0.05
1076,0.36
1080,0.84
1081,0.77
1082,0.87
1084,0.29
1085,0.05
1089,0.75
1090,0.05
1092,0.44
1093,0.51
1096,0.98
1097,0.02
1099,0.25
1100,0.69
1105,0.59
1108,0.72
1109,0.06
1110,0.87
1111,0.2
1112,0.72
1114,0.64
1115,0.19
1117,0.81
1118,0.8
1119,0.54
1122,0.61
1128,0.48
1129,0.7
1130,0.1
1136,0.14
1137,0.25
1138,0.09
1140,0.74
1143,0.22
1145,0.64
1147,0.15
1148,0.22
1151,0.52
1153,0.14
1154,0.87
1155,0.19
1159,0.05
1160,0.37
1162,0.71
1165,0.07
1167,0.9
1171,0.35
1174,0.35
1175,0.63
1178,0.06
1179,0.32
1185,0.85
1186,0.83
1188,0.85
1190,0.61
1191,0.13
1193,0.62
1198,0.09
1201,0.48
1204,0.54
1206,0.96
1207,0.28
1209,0.1
1212,0.86
1214,0.21
1216,0.61
1220,0.7
1224,0.56
1225,0.32
1226,0.97
1227,0.13
1228,0.22
1229,0.33
1231,0.68
1233,0.96
1235,0.99
1236,0.24
1238,0.28
1241,0.27
1243,0
1244,0.86
1246,0.29
1247,0.98
1248,0.93
1249,0.15
1250,0.66
1251,0.25
1257,0.15
1261,0
1262,0.59
1263,0.83
1264,0.27
1267,0.44
1268,0.95
1269,0.93
1272,0.64
1274,0.98
1276,0.88
1278,0.8
1279,0.83
1280,0.09
1281,0.11
1283,0.92
1284,0.97
1285,0.99
1286,0.98
1287,0.37
1289,0.86
1290,0.54
1291,0.97
1292,0.29
1296,0.54
1298,0.76
1302,0.04
1303,0.13
1305,0.11
1307,0.69
1310,0.22
1311,0.62
1313,0.15
1317,0.63
1318,0.14
1324,0.25
1326,0.52
1328,0.08
1330,0.81
1332,0.85
1337,0.98
1338,0.75
1339,0.88
1341,0.68
1342,0.44
1343,0.62
1344,0.31
1347,0.19
1349,0.2
1351,0.11
1352,0.59
1353,0.05
1354,0.08
1355,0.88
1357,0.66
1359,0.78
1362,0.64
1363,0.52
1365,0.02
1367,0.34
1368,0.2
1369,0
1370,0.01
1372,0.61
1374,0.55
1375,0.48
1376,0.85
1377,0.49
1378,0.66
1379,0.55
